ds,y
2024-05-16,73875.32
2024-05-17,86129.52
2024-05-18,88173.19
2024-05-20,50921.69
2024-05-21,72993.57
2024-05-22,63072.71
2024-05-23,74131.41
2024-05-24,127405.23
2024-05-25,125527.14
2024-05-27,105333.28
2024-05-28,117067.92
2024-05-29,36013.69
2024-05-30,84887.98
2024-05-31,140080.23
2024-06-01,108848.83
2024-06-03,89136.1
2024-06-04,97100.34
2024-06-05,88556.4
2024-06-06,72475.7
2024-06-07,101004.69
2024-06-08,67035.95
2024-06-10,74266.26
2024-06-11,60720.67
2024-06-12,71876.08
2024-06-13,65274.49
2024-06-14,144146.94
2024-06-15,96237.38
2024-06-17,19099.24
2024-06-18,88647.88
2024-06-19,86866.43
2024-06-20,74057.83
2024-06-21,87682.0
2024-06-22,69603.8
2024-06-24,75443.74
2024-06-25,92039.98
2024-06-26,102854.06
2024-06-27,102558.93
2024-06-28,176500.18
2024-06-29,119193.92
2024-07-01,96302.82
2024-07-02,94765.62
2024-07-03,98321.44
2024-07-04,97393.2
2024-07-05,136538.68
2024-07-06,102509.59
2024-07-08,167438.67
2024-07-09,100380.54000000001
2024-07-10,89288.52
2024-07-11,68042.25
2024-07-12,85225.22
2024-07-13,64475.94
2024-07-15,92778.02
2024-07-16,77928.49
2024-07-17,100138.05
2024-07-18,78675.53
2024-07-19,90381.92
2024-07-20,88351.32
2024-07-22,71231.51
2024-07-23,72557.34
2024-07-24,61697.55
2024-07-25,117439.52
2024-07-26,145919.42
2024-07-27,138028.14
2024-07-29,83381.69
2024-07-30,81779.0
2024-07-31,120604.01
2024-08-01,111730.45
2024-08-02,150581.02
2024-08-03,111118.09
2024-08-05,91478.18
2024-08-06,75228.53
2024-08-07,107154.22
2024-08-08,87488.31
2024-08-09,38992.04
2024-08-10,75318.31999999999
2024-08-12,61718.29
2024-08-13,60674.86
2024-08-14,75274.71
2024-08-15,94620.14
2024-08-16,117270.9
2024-08-17,93527.3
2024-08-19,62056.1
2024-08-20,69954.07
2024-08-21,79970.37
2024-08-22,81080.68
2024-08-23,228434.96
2024-08-24,136616.1
2024-08-26,80539.99
2024-08-27,75032.14
2024-08-28,84909.6
2024-08-29,87044.28
2024-08-30,154891.51
2024-08-31,123143.92
2024-09-02,117155.78
2024-09-03,92011.21
2024-09-04,88133.66
2024-09-05,89403.18000000001
2024-09-06,107081.17
2024-09-07,89623.0
2024-09-09,74636.88
2024-09-10,67975.67
2024-09-11,52162.01
2024-09-12,68314.12
2024-09-13,95634.76
2024-09-14,104892.97
2024-09-16,82362.01
2024-09-17,66878.04
2024-09-18,57501.73
2024-09-19,64486.03
2024-09-20,135385.44
2024-09-21,71936.06
2024-09-23,93177.39
2024-09-24,28608.5
2024-09-25,109255.28
2024-09-26,96460.26
2024-09-27,116143.14
2024-09-28,102288.19
2024-09-30,162109.36
2024-10-01,102584.26
2024-10-02,128588.01
2024-10-03,110106.26
2024-10-04,103621.22
2024-10-05,88796.59
2024-10-07,75659.45
2024-10-08,64766.92
2024-10-09,73122.34
2024-10-10,81020.33
2024-10-11,68467.16
2024-10-12,61179.05
2024-10-14,57157.8
2024-10-15,101716.22
2024-10-16,85592.16
2024-10-17,83315.83
2024-10-18,80162.17
2024-10-19,73040.61
2024-10-21,60601.71
2024-10-22,77561.98
2024-10-23,63889.15
2024-10-24,64958.840000000004
2024-10-25,116764.56
2024-10-26,126859.15
2024-10-28,84846.43
2024-10-29,79387.98
2024-10-30,78787.75
2024-10-31,128288.17
2024-11-01,137304.36
2024-11-02,158646.98
2024-11-04,94297.15
2024-11-05,95412.04
2024-11-06,69727.87
2024-11-07,77735.59
2024-11-08,89259.77
2024-11-09,63826.54
2024-11-11,52666.27
2024-11-12,54923.49
2024-11-13,69423.87
2024-11-14,66477.23
2024-11-15,111473.83
2024-11-16,84909.85
2024-11-18,71319.67
2024-11-19,73372.91
2024-11-20,61020.05
2024-11-21,87817.08
2024-11-22,96052.18
2024-11-23,96495.69
2024-11-25,109477.63
2024-11-26,70090.3
2024-11-27,84927.07
2024-11-28,96259.06999999999
2024-11-29,160157.39
2024-11-30,133404.28
2024-12-02,105762.88
2024-12-03,83264.74
2024-12-04,88255.93
2024-12-05,77515.23
2024-12-06,98018.26
2024-12-07,77049.81
2024-12-09,98663.5
2024-12-10,86311.05
2024-12-11,84942.89
2024-12-12,78099.24
2024-12-13,194616.33
2024-12-14,153206.93
2024-12-16,60137.35
2024-12-17,168228.61
2024-12-18,159549.93
2024-12-19,142786.69
2024-12-20,202379.1
2024-12-21,145800.59
2024-12-23,224315.07
2024-12-24,211536.12
2024-12-27,155977.99
2024-12-28,67783.23
2024-12-30,139608.97
2024-12-31,121477.56
2025-01-02,76036.07
2025-01-03,95202.93000000001
2025-01-04,70044.34
2025-01-06,88008.81
2025-01-07,94578.15
2025-01-08,81516.45
2025-01-09,115580.48
2025-01-10,127476.14
2025-01-11,101460.77
2025-01-13,106027.66
2025-01-14,148135.49
2025-01-15,161153.84
2025-01-16,92250.13
2025-01-17,109122.87
2025-01-18,114363.86
2025-01-20,76773.05
2025-01-21,77490.88
2025-01-22,67935.02
2025-01-23,82055.06
2025-01-24,113164.47
2025-01-25,156238.1
2025-01-27,116188.9
2025-01-28,83127.6
2025-01-29,79786.34
2025-01-30,84069.4
2025-01-31,157569.98
2025-02-01,125760.09
2025-02-03,112758.03
2025-02-04,110701.43000000001
2025-02-05,120281.73
2025-02-06,82302.62
2025-02-07,149616.03
2025-02-08,98272.0
2025-02-10,82766.62
2025-02-11,72001.39
2025-02-12,63452.68
2025-02-13,74338.94
2025-02-14,136619.03
2025-02-15,118707.78
2025-02-17,88718.43000000001
2025-02-18,87430.25
2025-02-19,70096.42
2025-02-20,75122.57
2025-02-21,102924.13
2025-02-22,124860.1
2025-02-24,86643.97
2025-02-25,119644.71
2025-02-26,99270.14
2025-02-27,91920.44
2025-02-28,161892.15
2025-03-01,174059.87
2025-03-03,114850.91
2025-03-04,120294.23
2025-03-05,95985.6
2025-03-06,89895.0
2025-03-07,113574.77
2025-03-08,95545.23
2025-03-10,81132.0
2025-03-11,80755.25
2025-03-12,74236.7
2025-03-13,76701.72
2025-03-14,127735.64
2025-03-15,117989.33
2025-03-17,91510.86
2025-03-18,92958.48
2025-03-19,77454.63
2025-03-20,90636.98
2025-03-21,36769.11
2025-03-22,112462.84999999999
2025-03-24,67282.4
2025-03-25,110246.44
2025-03-26,91312.11
2025-03-27,110346.54
2025-03-28,127569.77
2025-03-29,121126.74
2025-03-31,126723.92
2025-04-01,127915.23
2025-04-02,133693.47
2025-04-03,103005.77
2025-04-04,148957.49
2025-04-05,124731.42
2025-04-07,136369.8
2025-04-08,96712.72
2025-04-09,66341.29
2025-04-10,78380.2
2025-04-11,79350.7
2025-04-12,86182.15
2025-04-14,73371.88
2025-04-15,131442.58
2025-04-16,122719.5
2025-04-17,147792.18
2025-04-19,67538.66
2025-04-21,13179.29
2025-04-22,85146.81
2025-04-23,102015.31
2025-04-24,76235.15
2025-04-25,162655.73
2025-04-26,132446.39
2025-04-28,57327.85
2025-04-29,121118.79
2025-04-30,144625.99
2025-05-01,46131.25
2025-05-02,139343.86
2025-05-03,52661.13
2025-05-08,93849.43000000001
2025-05-09,104807.97
2025-05-10,73901.05
2025-05-12,63620.73
2025-05-13,158441.77
2025-05-14,98708.92
2025-05-15,151045.78
2025-05-16,123179.13
2025-05-17,111585.92
2025-05-18,17316.65
2025-05-19,93466.24
2025-05-20,75687.15
2025-05-21,70173.26
2025-05-22,84101.31
2025-05-23,133630.69
2025-05-24,155416.15
2025-05-25,22783.5
2025-05-26,96362.03
2025-05-27,81106.74
2025-05-28,99590.29000000001
2025-05-29,88291.88
2025-05-30,174617.33
2025-05-31,171640.8
2025-06-01,27436.55
2025-06-02,102011.05
2025-06-03,102195.72
2025-06-04,84565.07
2025-06-05,104374.32
2025-06-06,111583.65
2025-06-07,89020.39
2025-06-08,12331.88
2025-06-09,66453.84
2025-06-10,87906.72
2025-06-11,66027.56
2025-06-12,58723.19
2025-06-13,127777.52
2025-06-14,93306.02
2025-06-15,22164.7
2025-06-16,24775.86
2025-06-17,66541.53
2025-06-18,71235.1
2025-06-19,64728.0
2025-06-20,106158.66
2025-06-21,86772.55
2025-06-22,15801.17
2025-06-23,51022.48
2025-06-24,74117.6
2025-06-25,92601.77
2025-06-26,107519.64
2025-06-27,140994.98
2025-06-28,137770.72
2025-06-29,20490.97
2025-06-30,124525.58
2025-07-01,127060.89
2025-07-02,125573.43000000001
2025-07-03,102467.92
2025-07-04,112172.37
2025-07-05,97082.43
2025-07-06,14488.67
2025-07-07,101083.77
2025-07-08,88225.11
2025-07-09,63664.97
2025-07-10,70989.3
2025-07-11,104772.63
2025-07-12,81746.83
2025-07-14,69669.48
2025-07-15,114307.7
2025-07-16,53604.32
2025-07-17,123670.06
2025-07-18,117561.26
2025-07-19,95366.55
2025-07-20,23532.78
2025-07-21,115903.73
2025-07-22,91414.61
2025-07-23,69350.92
2025-07-24,92759.0
2025-07-25,154517.06
2025-07-26,149490.48
2025-07-27,26752.05
2025-07-28,96667.6
2025-07-29,85317.46
2025-07-30,91907.33
2025-07-31,114554.86
2025-08-01,177030.14
2025-08-02,115943.99
2025-08-03,30753.06
2025-08-04,93830.86
2025-08-05,96589.12
2025-08-06,95672.0
2025-08-07,111148.3
2025-08-08,123713.31999999999
2025-08-09,72153.58
2025-08-10,17678.43
2025-08-11,94684.88
2025-08-12,72783.63
2025-08-13,62207.94
2025-08-14,61637.96
2025-08-15,152516.84
2025-08-16,118891.5
2025-08-17,29021.260000000002
2025-08-18,83773.27
2025-08-19,84784.9
2025-08-20,79947.17
2025-08-21,49013.47
2025-08-22,112309.51
2025-08-23,110526.3
2025-08-24,27058.19
2025-08-25,82090.04
2025-08-26,99774.4
2025-08-27,75672.91
2025-08-28,126775.72
2025-08-29,147690.1
2025-08-30,136629.13
2025-08-31,43106.6
2025-09-01,110743.16
2025-09-02,126098.23
2025-09-03,119401.25
2025-09-04,97281.59
2025-09-05,117096.31
2025-09-06,94389.95
2025-09-07,21745.52
2025-09-08,70009.33
2025-09-09,78205.06
2025-09-10,82029.43
2025-09-11,66688.03
2025-09-12,87712.34
2025-09-13,56813.65
2025-09-14,12242.44
2025-09-15,95787.86
2025-09-16,93546.44
2025-09-17,78732.35
2025-09-18,92315.57
2025-09-19,98191.64
2025-09-20,80150.44
2025-09-21,14836.26
2025-09-22,61504.76
2025-09-23,88703.09
2025-09-24,42196.87
2025-09-25,115756.77
2025-09-26,141657.85
2025-09-27,104337.76
2025-09-28,27403.9
2025-09-29,82352.46
2025-09-30,132389.49
2025-10-01,104625.09
2025-10-02,107481.24
2025-10-03,143958.68
2025-10-04,108869.27
2025-10-05,33308.63
2025-10-06,87130.18
2025-10-07,96358.08
2025-10-08,81209.92
2025-10-09,84944.05
2025-10-10,85548.19
2025-10-11,80244.27
2025-10-12,20311.03
2025-10-13,77502.32
2025-10-14,68231.83
2025-10-15,90412.63
2025-10-16,90040.62
2025-10-17,105089.94
2025-10-18,88608.58
2025-10-19,23736.43
2025-10-20,60410.24
2025-10-21,68221.76
2025-10-22,67558.31
2025-10-23,79087.57
2025-10-24,135072.6
2025-10-25,114203.4
2025-10-26,35921.86
2025-10-27,79632.03
2025-10-28,89743.02
2025-10-29,77211.78
2025-10-30,72707.87
2025-10-31,150088.79
2025-11-01,129351.01
2025-11-02,32658.399999999998
2025-11-03,85978.62
2025-11-04,115255.38
2025-11-05,76908.08
2025-11-06,97418.46
2025-11-07,98349.97
2025-11-08,95014.47
2025-11-09,28494.61
2025-11-10,61240.33
2025-11-11,79934.51
2025-11-12,52907.03
2025-11-13,58748.37
2025-11-14,122853.99
2025-11-15,111571.55
2025-11-16,20035.6
2025-11-17,78037.77
2025-11-18,61324.09
2025-11-19,57151.9
2025-11-20,53822.2
2025-11-21,105310.57
2025-11-22,85186.84
2025-11-23,28888.65
2025-11-24,76488.26
2025-11-25,91402.99
2025-11-26,100842.62
2025-11-27,96681.18
2025-11-28,165335.8
2025-11-29,135070.58
2025-11-30,42845.27
2025-12-01,84579.85
2025-12-02,91619.02
2025-12-03,73066.73
2025-12-04,130437.7
2025-12-05,116832.63
2025-12-06,79482.4
2025-12-07,20697.43
2025-12-08,76471.69
2025-12-09,88880.25
2025-12-10,90304.72
2025-12-11,90656.65
2025-12-12,137199.7
2025-12-13,91685.75
2025-12-14,27269.92
2025-12-15,172707.45
2025-12-16,77864.77
2025-12-17,147387.74
2025-12-18,171457.21
2025-12-19,174909.03
2025-12-20,143087.17
2025-12-21,44315.45
2025-12-22,238960.37
2025-12-23,235326.27
2025-12-24,202356.6
2025-12-27,89990.85
2025-12-28,21939.28
2025-12-29,104877.22
2025-12-30,146216.89
2025-12-31,194555.56
2026-01-02,83641.85
2026-01-03,68981.2
2026-01-04,15318.25
2026-01-05,81950.45
2026-01-06,110969.96
2026-01-07,101538.31
2026-01-08,95294.55
2026-01-09,116421.06
2026-01-10,122125.92
2026-01-11,32478.85
2026-01-12,155576.02
2026-01-13,173126.34
2026-01-14,91047.9
2026-01-15,127815.11
2026-01-16,111645.66
2026-01-17,105457.12
2026-01-18,19319.52
2026-01-19,71930.19
2026-01-20,80483.0
2026-01-21,84495.06
2026-01-22,95093.14
2026-01-23,97851.84
2026-01-24,142650.6
2026-01-25,31195.28
2026-01-26,115841.99
2026-01-27,85712.23
2026-01-28,90540.8
2026-01-29,87252.51
2026-01-30,161943.23
2026-01-31,155925.81
2026-02-01,39133.04
2026-02-02,121783.2
2026-02-03,101615.58
2026-02-04,93627.36
2026-02-05,93268.25
2026-02-06,121454.2
2026-02-07,99030.99
2026-02-08,20645.16
2026-02-09,76967.79
2026-02-10,75793.38
2026-02-11,50812.26
2026-02-12,80881.07
2026-02-13,140709.39
2026-02-14,137205.05
2026-02-15,26390.74
2026-02-16,69145.57
2026-02-17,67277.63
2026-02-18,62700.59
2026-02-19,57064.63
2026-02-20,94679.2
2026-02-21,99341.51
2026-02-22,18729.84
2026-02-23,80517.57
2026-02-24,64685.37
2026-02-25,87413.96
2026-02-26,101481.7
2026-02-27,166566.28
2026-02-28,160236.47
2026-03-01,32931.42
2026-03-02,111761.51
2026-03-03,114900.66
2026-03-04,76460.99
2026-03-05,132096.91
2026-03-06,115780.3
2026-03-07,100105.56
2026-03-08,16877.29
2026-03-09,89368.5
2026-03-10,68834.94
2026-03-11,57867.35
2026-03-12,84988.58
2026-03-13,124541.08
2026-03-14,105902.12
2026-03-15,18938.87
2026-03-16,76318.55
2026-03-17,69421.74
2026-03-18,100259.98
2026-03-19,66643.98
2026-03-20,86842.6
2026-03-21,91522.42
2026-03-22,15420.130000000001
2026-03-23,67511.89
2026-03-24,64169.97
2026-03-25,81414.64
2026-03-26,77897.84
2026-03-27,128192.62
2026-03-28,104191.69
2026-03-29,32662.57
2026-03-30,86965.27
2026-03-31,150735.76
2026-04-01,126871.04
2026-04-02,157807.56
2026-04-04,96596.76
2026-04-05,19761.45
2026-04-06,38659.020000000004
2026-04-07,189906.46
2026-04-08,100549.83
2026-04-09,81159.19
2026-04-10,91341.92
2026-04-11,85734.7
2026-04-12,23038.33
2026-04-13,71438.97
2026-04-14,70326.6
2026-04-15,84790.19
2026-04-16,85827.48
2026-04-17,115474.13
2026-04-18,84770.27
2026-04-19,22916.57
2026-04-20,70820.28
2026-04-21,89539.55
2026-04-22,66333.07
2026-04-23,107407.3
2026-04-24,130287.83
2026-04-25,131574.08
2026-04-26,44006.71
2026-04-27,39710.82
2026-04-28,100447.63
2026-04-29,128324.25
2026-04-30,165550.31
2026-05-01,70063.56
2026-05-02,117909.33
2026-05-03,30689.09
2026-05-04,100168.47
2026-05-05,92649.83
2026-05-06,89747.65
2026-05-07,71237.16
2026-05-08,143368.16
2026-05-09,97153.79
2026-05-10,14969.78
2026-05-11,71039.73
2026-05-12,78444.35
2026-05-13,46155.05
2026-05-14,44760.98
2026-05-15,113693.67
2026-05-16,81765.65
2026-05-17,23700.64
2026-05-18,99900.58
2026-05-19,106256.58
2026-05-20,58032.66
2026-05-21,65664.32
2026-05-22,114776.0
2026-05-23,116559.55
2026-05-24,21856.08
2026-05-25,100504.84
2026-05-26,98439.78
2026-05-27,78294.03
2026-05-28,112058.15
2026-05-29,179125.27
2026-05-30,137607.4
2026-05-31,49594.32
2026-06-01,97073.99
2026-06-02,114821.95
2026-06-03,96011.45
2026-06-04,124879.38
2026-06-05,107924.03
2026-06-06,103942.05
2026-06-07,18648.36
2026-06-08,67861.49
2026-06-09,89580.82
2026-06-10,73649.19
2026-06-11,69819.65
2026-06-12,94873.68000000001
2026-06-13,58244.14
2026-06-14,24843.88
2026-06-15,100718.7
2026-06-16,41079.48
2026-06-17,64314.69
2026-06-18,68410.85
2026-06-19,62821.28
2026-06-20,65809.73
2026-06-21,18913.47
2026-06-22,77826.55
2026-06-23,71455.21
2026-06-24,50831.18
2026-06-25,91652.83
2026-06-26,134132.42
2026-06-27,110348.92
2026-06-28,32774.05
2026-06-29,105239.51
2026-06-30,184769.16
2026-07-01,118439.08
2026-07-02,119463.89
2026-07-03,136887.24
2026-07-04,92267.97
2026-07-05,25476.78
2026-07-06,104955.69
2026-07-07,96502.06
2026-07-08,80447.47
2026-07-09,87786.34
2026-07-10,89980.35
2026-07-11,64577.37
2026-07-12,28980.87
2026-07-13,86037.88
2026-07-14,71810.66
2026-07-15,106263.95
2026-07-16,136866.12
2026-07-17,120533.76
2026-07-18,91291.89
2026-07-19,35932.39
2026-07-20,142882.82
2026-07-21,81095.66
2026-07-22,72414.48
2026-07-23,74224.06
2026-07-24,105996.81
2026-07-25,119031.53
2026-07-26,54588.48
2026-07-27,106295.56
2026-07-28,102120.96
2026-07-29,67677.52
2026-07-30,73163.21
2026-07-31,144406.77
2026-08-01,135012.19
2026-08-02,34144.19
2026-08-03,111160.64
2026-08-04,105188.37
2026-08-05,66064.75
2026-08-06,94618.5
2026-08-07,86026.93
2026-08-08,75611.88
2026-08-09,21219.64
2026-08-10,42113.14
2026-08-11,94775.04
2026-08-12,80088.58
2026-08-13,60838.13
2026-08-14,116620.98
2026-08-15,101813.66
2026-08-16,32091.82
2026-08-17,77656.22
2026-08-18,62333.08
2026-08-19,49139.38
2026-08-20,67334.57
2026-08-21,103083.17
2026-08-22,93890.84
2026-08-23,25823.52
2026-08-24,85914.97
2026-08-25,108439.97
